,state,begin,end,poll_time,poll_date,week,day_of_week,pollster,mode,population,observations,clinton,trump,both,other,p_clinton,n_clinton,n_respondents
13,south carolina,2016-08-18,2016-08-21,3,2016-08-19,33,3,Feldman (D-South Carolina Democratic Party),Live Phone,,600.0,39.0,39.0,78.0,6.0,0.5,234.0,468.0
14,south carolina,2016-08-15,2016-08-17,2,2016-08-16,33,0,Gravis Marketing,IVR/Online,,768.0,42.0,46.0,88.0,0.0,0.4772727272727273,323.0,676.0
15,south carolina,2016-08-09,2016-08-10,1,2016-08-09,32,0,PPP (D),IVR/Online,,1290.0,39.0,41.0,80.0,7.0,0.4875,503.0,1032.0
0,maine,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,779.0,46.0,38.0,84.0,15.0,0.5476190476190477,358.0,654.0
1,maine,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,308.0,54.0,41.0,95.0,5.0,0.5684210526315789,166.0,293.0
2,maine,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,304.0,42.0,35.0,77.0,0.0,0.5454545454545454,128.0,234.0
3,maine,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,432.0,49.0,37.0,86.0,10.0,0.5697674418604651,212.0,372.0
4,maine,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,312.0,54.0,43.0,97.0,3.0,0.5567010309278351,168.0,303.0
5,maine,2016-10-24,2016-10-26,2,2016-10-25,43,0,MPRC,IVR/Online,,812.0,47.0,40.0,87.0,0.0,0.5402298850574713,382.0,706.0
6,maine,2016-10-20,2016-10-25,5,2016-10-22,42,4,UNH/Portland Press Herald/Maine Sunday Telegram,Live Phone,,646.0,48.0,37.0,85.0,11.0,0.5647058823529412,310.0,549.0
7,maine,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,370.0,51.0,35.0,86.0,10.0,0.5930232558139535,189.0,318.0
8,maine,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,313.0,55.0,42.0,97.0,3.0,0.5670103092783505,172.0,304.0
9,maine,2016-10-14,2016-10-15,1,2016-10-14,41,3,MPRC,IVR/Online,,890.0,49.0,39.0,88.0,0.0,0.5568181818181818,436.0,783.0
10,maine,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,281.0,48.0,35.0,83.0,0.0,0.5783132530120482,135.0,233.0
11,maine,2016-10-07,2016-10-09,2,2016-10-08,40,4,MPRC,IVR/Online,,892.0,49.0,40.0,89.0,0.0,0.550561797752809,437.0,794.0
12,maine,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,462.0,54.0,43.0,97.0,3.0,0.5567010309278351,249.0,448.0
13,maine,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,306.0,40.0,38.0,78.0,0.0,0.5128205128205128,122.0,239.0
14,maine,2016-09-15,2016-09-21,6,2016-09-18,37,5,UNH/Portland Press Herald/Maine Sunday Telegram,Live Phone,,513.0,42.0,37.0,79.0,15.0,0.5316455696202531,215.0,405.0
15,maine,2016-09-15,2016-09-17,2,2016-09-16,37,3,MPRC,IVR/Online,,835.0,45.0,40.0,85.0,0.0,0.5294117647058824,376.0,710.0
16,maine,2016-09-04,2016-09-10,6,2016-09-07,36,1,SurveyUSA/Boston Globe/Colby College,IVR/Online,,779.0,42.0,39.0,81.0,14.0,0.5185185185185185,327.0,631.0
17,maine,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,715.0,47.0,39.0,86.0,0.0,0.5465116279069767,336.0,615.0
18,maine,2016-08-17,2016-08-20,3,2016-08-18,33,2,MPRC,IVR/Online,,841.0,42.0,32.0,74.0,14.0,0.5675675675675675,353.0,622.0
19,maine,2016-08-04,2016-08-08,4,2016-08-06,31,4,Gravis Marketing,IVR/Online,,2046.0,46.0,36.0,82.0,17.0,0.5609756097560976,941.0,1678.0
20,maine,2016-06-15,2016-06-21,6,2016-06-18,24,4,UNH/Portland Press Herald/Maine Sunday Telegram,Live Phone,,469.0,42.0,35.0,77.0,19.0,0.5454545454545454,197.0,361.0
0,general,2016-11-04,2016-11-06,2,2016-11-05,44,4,Bloomberg/Selzer,Live Phone,,799.0,46.0,43.0,89.0,5.0,0.5168539325842697,368.0,711.0
1,general,2016-11-02,2016-11-06,4,2016-11-04,44,3,Ipsos/Reuters,Internet,,2195.0,44.0,39.0,83.0,9.0,0.5301204819277109,966.0,1822.0
2,general,2016-11-02,2016-11-06,4,2016-11-04,44,3,CBS/Times,Live Phone,,1426.0,47.0,43.0,90.0,5.0,0.5222222222222223,670.0,1283.0
3,general,2016-10-31,2016-11-06,6,2016-11-03,44,2,UPI/CVOTER,Internet,,1625.0,49.0,46.0,95.0,5.0,0.5157894736842106,796.0,1544.0
4,general,2016-10-31,2016-11-06,6,2016-11-03,44,2,NBC/SurveyMonkey,Internet,,70194.0,51.0,44.0,95.0,0.0,0.5368421052631579,35799.0,66684.0
5,general,2016-11-01,2016-11-03,2,2016-11-02,44,1,McClatchy/Marist,Live Phone,,940.0,46.0,44.0,90.0,8.0,0.5111111111111111,432.0,846.0
6,general,2016-10-28,2016-11-01,4,2016-10-30,43,5,CBS/Times,Live Phone,,1333.0,47.0,44.0,91.0,5.0,0.5164835164835165,627.0,1213.0
7,general,2016-10-31,2016-10-31,0,2016-10-31,43,6,Gravis Marketing/OANN,IVR/Online,,5360.0,50.0,50.0,100.0,0.0,0.5,2680.0,5360.0
8,general,2016-10-29,2016-10-30,1,2016-10-29,43,4,Politico/Morning Consult,Internet,,1772.0,46.0,43.0,89.0,0.0,0.5168539325842697,815.0,1577.0
9,general,2016-10-27,2016-10-30,3,2016-10-28,43,3,Politico/Morning Consult,Live Phone,,1249.0,52.0,47.0,99.0,0.0,0.5252525252525253,649.0,1237.0
10,general,2016-10-24,2016-10-30,6,2016-10-27,43,2,UPI/CVOTER,Internet,,1299.0,49.0,48.0,97.0,3.0,0.5051546391752577,637.0,1260.0
11,general,2016-10-24,2016-10-30,6,2016-10-27,43,2,NBC/SurveyMonkey,Internet,,40816.0,51.0,44.0,95.0,0.0,0.5368421052631579,20816.0,38775.0
12,general,2016-10-20,2016-10-24,4,2016-10-22,42,4,Suffolk/USA Today,Live Phone,,1000.0,49.0,39.0,88.0,0.0,0.5568181818181818,490.0,880.0
13,general,2016-10-20,2016-10-24,4,2016-10-22,42,4,Ipsos/Reuters,Internet,,1170.0,43.0,37.0,80.0,10.0,0.5375,503.0,936.0
14,general,2016-10-17,2016-10-23,6,2016-10-20,42,2,NBC/SurveyMonkey,Internet,,32225.0,50.0,44.0,94.0,0.0,0.5319148936170213,16112.0,30292.0
15,general,2016-10-17,2016-10-23,6,2016-10-20,42,2,UPI/CVOTER,Internet,,1414.0,50.0,46.0,96.0,4.0,0.5208333333333334,707.0,1357.0
16,general,2016-10-19,2016-10-20,1,2016-10-19,42,1,Politico/Morning Consult,Internet,,1395.0,46.0,40.0,86.0,0.0,0.5348837209302325,642.0,1200.0
17,general,2016-10-17,2016-10-20,3,2016-10-18,42,0,ARG,Live Phone,,1006.0,49.0,42.0,91.0,5.0,0.5384615384615384,493.0,915.0
18,general,2016-10-14,2016-10-17,3,2016-10-15,41,4,Bloomberg/Selzer,Live Phone,,1006.0,50.0,41.0,91.0,4.0,0.5494505494505495,503.0,915.0
19,general,2016-10-13,2016-10-17,4,2016-10-15,41,4,Ipsos/Reuters,Internet,,1190.0,43.0,39.0,82.0,8.0,0.524390243902439,512.0,976.0
20,general,2016-10-12,2016-10-16,4,2016-10-14,41,3,CBS,Live Phone,,1189.0,51.0,40.0,91.0,5.0,0.5604395604395604,606.0,1082.0
21,general,2016-10-10,2016-10-16,6,2016-10-13,41,2,NBC/SurveyMonkey,Internet,,24804.0,51.0,43.0,94.0,0.0,0.5425531914893617,12650.0,23316.0
22,general,2016-10-10,2016-10-16,6,2016-10-13,41,2,UPI/CVOTER,Internet,,1325.0,50.0,46.0,96.0,4.0,0.5208333333333334,662.0,1272.0
23,general,2016-10-13,2016-10-15,2,2016-10-14,41,3,Politico/Morning Consult,Internet,,1737.0,46.0,41.0,87.0,0.0,0.5287356321839081,799.0,1511.0
24,general,2016-10-10,2016-10-10,0,2016-10-10,40,6,Politico/Morning Consult,Internet,,1757.0,46.0,41.0,87.0,0.0,0.5287356321839081,808.0,1529.0
25,general,2016-10-06,2016-10-10,4,2016-10-08,40,4,Ipsos/Reuters,Internet,,2363.0,44.0,37.0,81.0,9.0,0.5432098765432098,1040.0,1914.0
26,general,2016-10-03,2016-10-09,6,2016-10-06,40,2,UPI/CVOTER,Internet,,1350.0,50.0,44.0,94.0,6.0,0.5319148936170213,675.0,1269.0
27,general,2016-10-03,2016-10-09,6,2016-10-06,40,2,NBC/SurveyMonkey,Internet,,23329.0,51.0,44.0,95.0,0.0,0.5368421052631579,11898.0,22163.0
28,general,2016-10-08,2016-10-08,0,2016-10-08,40,4,Politico/Morning Consult,Internet,,1390.0,45.0,41.0,86.0,0.0,0.5232558139534884,626.0,1195.0
29,general,2016-09-29,2016-10-03,4,2016-10-01,39,4,Ipsos/Reuters,Internet,,1239.0,44.0,37.0,81.0,9.0,0.5432098765432098,545.0,1004.0
30,general,2016-09-30,2016-10-02,2,2016-10-01,39,4,Morning Consult,Internet,,1778.0,46.0,39.0,85.0,0.0,0.5411764705882353,818.0,1511.0
31,general,2016-09-28,2016-10-02,4,2016-09-30,39,3,Fairleigh Dickinson/SSRS,Live Phone,,788.0,50.0,40.0,90.0,5.0,0.5555555555555556,394.0,709.0
32,general,2016-09-28,2016-10-02,4,2016-09-30,39,3,CBS/Times,Live Phone,,1217.0,49.0,43.0,92.0,4.0,0.532608695652174,596.0,1120.0
33,general,2016-09-26,2016-10-02,6,2016-09-29,39,2,NBC/SurveyMonkey,Internet,,26925.0,50.0,44.0,94.0,0.0,0.5319148936170213,13462.0,25310.0
34,general,2016-09-26,2016-10-02,6,2016-09-29,39,2,UPI/CVOTER,Internet,,1285.0,47.0,49.0,96.0,4.0,0.4895833333333333,604.0,1234.0
35,general,2016-09-27,2016-09-28,1,2016-09-27,39,0,Ipsos/Reuters,Internet,,1336.0,42.0,38.0,80.0,8.0,0.525,561.0,1069.0
36,general,2016-09-26,2016-09-27,1,2016-09-26,38,6,Morning Consult,Internet,,1253.0,45.0,41.0,86.0,0.0,0.5232558139534884,564.0,1078.0
37,general,2016-09-22,2016-09-26,4,2016-09-24,38,4,Ipsos/Reuters,Internet,,1041.0,44.0,38.0,82.0,7.0,0.5365853658536586,458.0,854.0
38,general,2016-09-19,2016-09-25,6,2016-09-22,38,2,NBC/SurveyMonkey,Internet,,13598.0,51.0,44.0,95.0,0.0,0.5368421052631579,6935.0,12918.0
39,general,2016-09-19,2016-09-25,6,2016-09-22,38,2,UPI/CVOTER,Internet,,1052.0,48.0,47.0,95.0,5.0,0.5052631578947369,505.0,999.0
40,general,2016-09-22,2016-09-24,2,2016-09-23,38,3,Morning Consult,Internet,,1712.0,44.0,42.0,86.0,0.0,0.5116279069767442,753.0,1472.0
41,general,2016-09-21,2016-09-24,3,2016-09-22,38,2,Bloomberg/Selzer,Live Phone,,1002.0,46.0,46.0,92.0,3.0,0.5,461.0,922.0
42,general,2016-09-17,2016-09-20,3,2016-09-18,37,5,ARG,Live Phone,,990.0,47.0,44.0,91.0,5.0,0.5164835164835165,465.0,901.0
43,general,2016-09-15,2016-09-20,5,2016-09-17,37,4,McClatchy/Marist,Live Phone,,758.0,48.0,41.0,89.0,9.0,0.5393258426966292,364.0,675.0
44,general,2016-09-15,2016-09-19,4,2016-09-17,37,4,Ipsos/Reuters,Internet,,1111.0,39.0,39.0,78.0,10.0,0.5,433.0,867.0
45,general,2016-09-12,2016-09-18,6,2016-09-15,37,2,UPI/CVOTER,Internet,,1203.0,48.0,47.0,95.0,5.0,0.5052631578947369,577.0,1143.0
46,general,2016-09-12,2016-09-18,6,2016-09-15,37,2,NBC/SurveyMonkey,Internet,,13230.0,50.0,45.0,95.0,0.0,0.5263157894736842,6615.0,12568.0
47,general,2016-09-15,2016-09-16,1,2016-09-15,37,2,Morning Consult,Internet,,1639.0,46.0,42.0,88.0,0.0,0.5227272727272727,754.0,1442.0
48,general,2016-09-09,2016-09-13,4,2016-09-11,36,5,CBS/Times,Live Phone,,1433.0,46.0,44.0,90.0,5.0,0.5111111111111111,659.0,1290.0
49,general,2016-09-08,2016-09-13,5,2016-09-10,36,4,Quinnipiac,Live Phone,,960.0,48.0,43.0,91.0,3.0,0.5274725274725275,461.0,874.0
50,general,2016-09-08,2016-09-12,4,2016-09-10,36,4,Ipsos/Reuters,Internet,,1127.0,40.0,39.0,79.0,9.0,0.5063291139240507,451.0,890.0
51,general,2016-09-05,2016-09-11,6,2016-09-08,36,2,NBC/SurveyMonkey,Internet,,16220.0,48.0,44.0,92.0,0.0,0.5217391304347826,7786.0,14922.0
52,general,2016-09-05,2016-09-11,6,2016-09-08,36,2,UPI/CVOTER,Internet,,1260.0,46.0,49.0,95.0,5.0,0.4842105263157895,580.0,1197.0
53,general,2016-09-06,2016-09-08,2,2016-09-07,36,1,Morning Consult,Internet,,1710.0,44.0,43.0,87.0,0.0,0.5057471264367817,752.0,1488.0
54,general,2016-09-01,2016-09-05,4,2016-09-03,35,4,Ipsos/Reuters,Internet,,1084.0,40.0,38.0,78.0,11.0,0.5128205128205128,434.0,846.0
55,general,2016-08-29,2016-09-04,6,2016-09-01,35,2,UPI/CVOTER,Internet,,1237.0,49.0,47.0,96.0,5.0,0.5104166666666666,606.0,1188.0
56,general,2016-08-29,2016-09-04,6,2016-09-01,35,2,NBC/SurveyMonkey,Internet,,32226.0,48.0,42.0,90.0,0.0,0.5333333333333333,15468.0,29003.0
57,general,2016-09-01,2016-09-02,1,2016-09-01,35,2,Morning Consult,Internet,,2001.0,42.0,40.0,82.0,0.0,0.5121951219512195,840.0,1641.0
58,general,2016-08-26,2016-09-01,6,2016-08-29,34,6,IBD/TIPP,Live Phone,,887.0,44.0,43.0,87.0,4.0,0.5057471264367817,390.0,772.0
59,general,2016-08-25,2016-08-29,4,2016-08-27,34,4,Ipsos/Reuters,Internet,,1404.0,40.0,39.0,79.0,9.0,0.5063291139240507,562.0,1109.0
60,general,2016-08-24,2016-08-29,5,2016-08-26,34,3,Suffolk/USA Today,Live Phone,,1000.0,48.0,41.0,89.0,0.0,0.5393258426966292,480.0,890.0
61,general,2016-08-22,2016-08-28,6,2016-08-25,34,2,UPI/CVOTER,Internet,,1145.0,50.0,47.0,97.0,3.0,0.5154639175257731,572.0,1111.0
62,general,2016-08-22,2016-08-28,6,2016-08-25,34,2,NBC/SurveyMonkey,Internet,,24104.0,48.0,42.0,90.0,0.0,0.5333333333333333,11570.0,21694.0
63,general,2016-08-24,2016-08-26,2,2016-08-25,34,2,Morning Consult,Internet,,2007.0,43.0,40.0,83.0,0.0,0.5180722891566265,863.0,1666.0
64,general,2016-08-20,2016-08-24,4,2016-08-22,33,6,Ipsos/Reuters,Internet,,1049.0,42.0,35.0,77.0,9.0,0.5454545454545454,441.0,808.0
65,general,2016-08-18,2016-08-24,6,2016-08-21,33,5,Quinnipiac,Live Phone,,1498.0,51.0,41.0,92.0,3.0,0.5543478260869565,764.0,1378.0
66,general,2016-08-15,2016-08-21,6,2016-08-18,33,2,UPI/CVOTER,Internet,,1259.0,48.0,47.0,95.0,5.0,0.5052631578947369,604.0,1196.0
67,general,2016-08-15,2016-08-21,6,2016-08-18,33,2,NBC/SurveyMonkey,Internet,,17459.0,50.0,42.0,92.0,0.0,0.5434782608695652,8730.0,16062.0
68,general,2016-08-18,2016-08-20,2,2016-08-19,33,3,Morning Consult,Internet,,2001.0,44.0,38.0,82.0,0.0,0.5365853658536586,880.0,1641.0
69,general,2016-08-17,2016-08-20,3,2016-08-18,33,2,ARG,Live Phone,,994.0,47.0,42.0,89.0,6.0,0.5280898876404494,467.0,885.0
70,general,2016-08-13,2016-08-17,4,2016-08-15,32,6,Ipsos/Reuters,Internet,,1049.0,41.0,36.0,77.0,10.0,0.5324675324675324,430.0,808.0
71,general,2016-08-10,2016-08-16,6,2016-08-13,32,4,Public Religion Research Institute ,Live Phone,,1630.0,48.0,35.0,83.0,7.0,0.5783132530120482,782.0,1353.0
72,general,2016-08-09,2016-08-15,6,2016-08-12,32,3,"Normington, Petts & Associates (D-End Citizens United)",Live Phone,,1000.0,50.0,40.0,90.0,5.0,0.5555555555555556,500.0,900.0
73,general,2016-08-11,2016-08-14,3,2016-08-12,32,3,Morning Consult,Internet,,2001.0,44.0,37.0,81.0,0.0,0.5432098765432098,880.0,1621.0
74,general,2016-08-08,2016-08-14,6,2016-08-11,32,2,UPI/CVOTER,Internet,,975.0,51.0,45.0,96.0,5.0,0.53125,497.0,936.0
75,general,2016-08-08,2016-08-14,6,2016-08-11,32,2,NBC/SurveyMonkey,Internet,,15179.0,50.0,41.0,91.0,0.0,0.5494505494505495,7590.0,13813.0
76,general,2016-08-06,2016-08-10,4,2016-08-08,31,6,Ipsos/Reuters,Internet,,974.0,42.0,36.0,78.0,10.0,0.5384615384615384,409.0,760.0
77,general,2016-08-04,2016-08-07,3,2016-08-05,31,3,PSRAI,Live Phone,,798.0,45.0,39.0,84.0,3.0,0.5357142857142857,359.0,670.0
78,general,2016-08-01,2016-08-07,6,2016-08-04,31,2,UPI/CVOTER,Internet,,960.0,49.0,44.0,93.0,7.0,0.5268817204301075,470.0,893.0
79,general,2016-08-01,2016-08-07,6,2016-08-04,31,2,NBC/SurveyMonkey,Internet,,11480.0,51.0,41.0,92.0,0.0,0.5543478260869565,5855.0,10562.0
80,general,2016-08-04,2016-08-05,1,2016-08-04,31,2,Morning Consult,Internet,,2001.0,46.0,37.0,83.0,0.0,0.5542168674698795,920.0,1661.0
81,general,2016-08-01,2016-08-04,3,2016-08-02,31,0,ABC/Post,Live Phone,,682.0,51.0,44.0,95.0,3.0,0.5368421052631579,348.0,648.0
82,general,2016-07-29,2016-08-04,6,2016-08-01,30,6,IBD/TIPP,Live Phone,,851.0,46.0,39.0,85.0,5.0,0.5411764705882353,391.0,723.0
83,general,2016-08-01,2016-08-03,2,2016-08-02,31,0,McClatchy/Marist,Live Phone,,983.0,48.0,33.0,81.0,14.0,0.5925925925925926,472.0,796.0
84,general,2016-07-31,2016-08-03,3,2016-08-01,30,6,NBC/WSJ,Live Phone,,800.0,47.0,38.0,85.0,11.0,0.5529411764705883,376.0,680.0
85,general,2016-07-30,2016-08-03,4,2016-08-01,30,6,Ipsos/Reuters,Internet,,1072.0,43.0,39.0,82.0,9.0,0.524390243902439,461.0,879.0
86,general,2016-07-31,2016-08-02,2,2016-08-01,30,6,FOX,Live Phone,,1022.0,49.0,39.0,88.0,5.0,0.5568181818181818,501.0,899.0
87,general,2016-07-29,2016-07-31,2,2016-07-30,30,4,CNN,Live Phone,,894.0,52.0,43.0,95.0,5.0,0.5473684210526316,465.0,849.0
88,general,2016-07-29,2016-07-31,2,2016-07-30,30,4,CBS,Live Phone,,1131.0,47.0,41.0,88.0,3.0,0.5340909090909091,532.0,995.0
89,general,2016-07-25,2016-07-31,6,2016-07-28,30,2,UPI/CVOTER,Internet,,989.0,49.0,46.0,95.0,5.0,0.5157894736842106,485.0,940.0
90,general,2016-07-25,2016-07-31,6,2016-07-28,30,2,NBC/SurveyMonkey,Internet,,12742.0,50.0,42.0,92.0,0.0,0.5434782608695652,6371.0,11723.0
91,general,2016-07-29,2016-07-30,1,2016-07-29,30,3,Morning Consult,Internet,,1931.0,43.0,40.0,83.0,0.0,0.5180722891566265,830.0,1603.0
92,general,2016-07-25,2016-07-29,4,2016-07-27,30,1,Ipsos/Reuters,Internet,,1050.0,40.0,35.0,75.0,8.0,0.5333333333333333,420.0,788.0
93,general,2016-07-26,2016-07-27,1,2016-07-26,30,0,Rasmussen,IVR/Online,,1000.0,43.0,42.0,85.0,10.0,0.5058823529411764,430.0,850.0
94,general,2016-07-22,2016-07-24,2,2016-07-23,29,4,CBS,Live Phone,,1118.0,43.0,44.0,87.0,4.0,0.4942528735632184,481.0,973.0
95,general,2016-07-22,2016-07-24,2,2016-07-23,29,4,CNN,Live Phone,,882.0,45.0,48.0,93.0,6.0,0.4838709677419355,397.0,820.0
96,general,2016-07-22,2016-07-24,2,2016-07-23,29,4,Morning Consult,Internet,,2502.0,40.0,44.0,84.0,0.0,0.47619047619047616,1001.0,2102.0
97,general,2016-07-21,2016-07-24,3,2016-07-22,29,3,University of Delaware/PSRAI,Live Phone,,818.0,46.0,42.0,88.0,4.0,0.5227272727272727,376.0,720.0
98,general,2016-07-18,2016-07-24,6,2016-07-21,29,2,NBC/SurveyMonkey,Internet,,12931.0,46.0,45.0,91.0,0.0,0.5054945054945055,5948.0,11767.0
99,general,2016-07-21,2016-07-22,1,2016-07-21,29,2,Gravis Marketing/OANN,Automated Phone,,3462.0,49.0,51.0,100.0,0.0,0.49,1696.0,3462.0
100,general,2016-07-17,2016-07-20,3,2016-07-18,28,6,ARG,Live Phone,,990.0,43.0,42.0,85.0,6.0,0.5058823529411764,426.0,842.0
101,general,2016-07-16,2016-07-20,4,2016-07-18,28,6,Ipsos/Reuters,Internet,,1232.0,40.0,36.0,76.0,13.0,0.5263157894736842,493.0,936.0
102,general,2016-07-18,2016-07-19,1,2016-07-18,28,6,Rasmussen,IVR/Online,,1000.0,42.0,43.0,85.0,11.0,0.49411764705882355,420.0,850.0
103,general,2016-07-11,2016-07-17,6,2016-07-14,28,2,NBC/SurveyMonkey,Internet,,9436.0,46.0,45.0,91.0,0.0,0.5054945054945055,4341.0,8587.0
104,general,2016-07-14,2016-07-16,2,2016-07-15,28,3,Morning Consult,Internet,,2002.0,41.0,39.0,80.0,0.0,0.5125,821.0,1602.0
105,general,2016-07-13,2016-07-16,3,2016-07-14,28,2,CNN,Live Phone,,872.0,49.0,42.0,91.0,8.0,0.5384615384615384,427.0,794.0
106,general,2016-07-12,2016-07-15,3,2016-07-13,28,1,ICITIZEN,Internet,,1000.0,46.0,41.0,87.0,0.0,0.5287356321839081,460.0,870.0
107,general,2016-07-11,2016-07-14,3,2016-07-12,28,0,ABC/Post,Live Phone,,816.0,47.0,43.0,90.0,8.0,0.5222222222222223,384.0,734.0
108,general,2016-07-12,2016-07-13,1,2016-07-12,28,0,Rasmussen,IVR/Online,,1000.0,37.0,44.0,81.0,13.0,0.4567901234567901,370.0,810.0
109,general,2016-07-09,2016-07-13,4,2016-07-11,27,6,NBC/WSJ,Live Phone,,1000.0,46.0,41.0,87.0,9.0,0.5287356321839081,460.0,870.0
110,general,2016-07-08,2016-07-12,4,2016-07-10,27,5,CBS/Times,Live Phone,,1358.0,40.0,40.0,80.0,4.0,0.5,543.0,1086.0
111,general,2016-07-08,2016-07-10,2,2016-07-09,27,4,Morning Consult,Internet,,2001.0,42.0,41.0,83.0,0.0,0.5060240963855421,840.0,1661.0
112,general,2016-07-04,2016-07-10,6,2016-07-07,27,2,NBC/SurveyMonkey,Internet,,7869.0,47.0,44.0,91.0,0.0,0.5164835164835165,3698.0,7161.0
113,general,2016-07-05,2016-07-09,4,2016-07-07,27,2,McClatchy/Marist,Live Phone,,1053.0,42.0,39.0,81.0,14.0,0.5185185185185185,442.0,853.0
114,general,2016-07-02,2016-07-06,4,2016-07-04,26,6,Ipsos/Reuters,Internet,,1345.0,44.0,33.0,77.0,12.0,0.5714285714285714,592.0,1036.0
115,general,2016-06-30,2016-07-04,4,2016-07-02,26,4,Morning Consult,Internet,,2001.0,41.0,40.0,81.0,0.0,0.5061728395061729,820.0,1621.0
116,general,2016-06-27,2016-07-03,6,2016-06-30,26,2,NBC/SurveyMonkey,Internet,,10072.0,48.0,43.0,91.0,0.0,0.5274725274725275,4835.0,9166.0
117,general,2016-06-28,2016-06-29,1,2016-06-28,26,0,Rasmussen,IVR/Online,,1000.0,39.0,43.0,82.0,12.0,0.47560975609756095,390.0,820.0
118,general,2016-06-26,2016-06-29,3,2016-06-27,25,6,Suffolk/USA Today,Live Phone,,1000.0,46.0,40.0,86.0,0.0,0.5348837209302325,460.0,860.0
119,general,2016-06-25,2016-06-29,4,2016-06-27,25,6,Ipsos/Reuters,Internet,,1247.0,42.0,32.0,74.0,14.0,0.5675675675675675,524.0,923.0
120,general,2016-06-24,2016-06-29,5,2016-06-26,25,5,IBD/TIPP,Live Phone,,837.0,44.0,40.0,84.0,9.0,0.5238095238095238,368.0,703.0
121,general,2016-06-27,2016-06-28,1,2016-06-27,25,6,Gravis Marketing/OANN,Automated Phone,,2162.0,50.0,46.0,96.0,4.0,0.5208333333333334,1081.0,2076.0
122,general,2016-06-26,2016-06-28,2,2016-06-27,25,6,FOX,Live Phone,,1017.0,44.0,38.0,82.0,7.0,0.5365853658536586,447.0,834.0
123,general,2016-06-24,2016-06-27,3,2016-06-25,25,4,Morning Consult,Internet,,4001.0,44.0,39.0,83.0,0.0,0.5301204819277109,1760.0,3321.0
124,general,2016-06-21,2016-06-27,6,2016-06-24,25,3,Quinnipiac,Live Phone,,1610.0,42.0,40.0,82.0,6.0,0.5121951219512195,676.0,1320.0
125,general,2016-06-20,2016-06-26,6,2016-06-23,25,2,NBC/SurveyMonkey,Internet,,5818.0,49.0,41.0,90.0,0.0,0.5444444444444444,2851.0,5236.0
126,general,2016-06-20,2016-06-23,3,2016-06-21,25,0,ABC/Post,Live Phone,,836.0,51.0,39.0,90.0,8.0,0.5666666666666667,426.0,752.0
127,general,2016-06-19,2016-06-23,4,2016-06-21,25,0,NBC/WSJ,Live Phone,,1000.0,46.0,41.0,87.0,11.0,0.5287356321839081,460.0,870.0
128,general,2016-06-18,2016-06-22,4,2016-06-20,24,6,Ipsos/Reuters,Internet,,1339.0,44.0,34.0,78.0,13.0,0.5641025641025641,589.0,1044.0
129,general,2016-06-20,2016-06-21,1,2016-06-20,24,6,Rasmussen,IVR/Online,,1000.0,44.0,39.0,83.0,11.0,0.5301204819277109,440.0,830.0
130,general,2016-06-17,2016-06-20,3,2016-06-18,24,4,ARG,Live Phone,,987.0,50.0,41.0,91.0,3.0,0.5494505494505495,494.0,898.0
131,general,2016-06-15,2016-06-20,5,2016-06-17,24,3,Morning Consult,Internet,,3891.0,42.0,40.0,82.0,0.0,0.5121951219512195,1634.0,3191.0
132,general,2016-06-16,2016-06-19,3,2016-06-17,24,3,CNN,Live Phone,,891.0,47.0,42.0,89.0,10.0,0.5280898876404494,419.0,793.0
133,general,2016-06-15,2016-06-19,4,2016-06-17,24,3,Monmouth University,Live Phone,,803.0,47.0,40.0,87.0,5.0,0.5402298850574713,377.0,699.0
134,general,2016-06-13,2016-06-19,6,2016-06-16,24,2,NBC/SurveyMonkey,Internet,,16135.0,48.0,42.0,90.0,0.0,0.5333333333333333,7745.0,14522.0
135,general,2016-06-16,2016-06-16,0,2016-06-16,24,2,Gravis Marketing/OANN,Automated Phone,,2197.0,50.0,45.0,95.0,5.0,0.5263157894736842,1098.0,2087.0
136,general,2016-06-14,2016-06-15,1,2016-06-14,24,0,Rasmussen,IVR/Online,,1000.0,44.0,39.0,83.0,14.0,0.5301204819277109,440.0,830.0
137,general,2016-06-11,2016-06-15,4,2016-06-13,23,6,Ipsos/Reuters,Internet,,1323.0,41.0,32.0,73.0,15.0,0.5616438356164384,542.0,966.0
138,general,2016-06-11,2016-06-13,2,2016-06-12,23,5,CNBC,Live Phone,,801.0,40.0,35.0,75.0,16.0,0.5333333333333333,320.0,601.0
139,general,2016-06-09,2016-06-13,4,2016-06-11,23,4,CBS,Live Phone,,1048.0,43.0,37.0,80.0,5.0,0.5375,451.0,838.0
